Frame,Time,Cursor Position X,Cursor Position Y,Cursor Position Z,Cursor Velocity X,Cursor Velocity Y,Cursor Velocity Z
1,0,0,0,0,0,0,0
2,0.02,0.02074447,0.1942195,-0.04297893,0,0,0
3,0.0640276,0.02074447,0.1942195,-0.04297893,0,0,0
4,0.0975012,0.02074447,0.1942195,-0.04297893,0,0,0
5,0.127173,0.02074447,0.1942195,-0.04297893,0,0,0
6,0.1419741,0.02074447,0.1942195,-0.04297893,0,0,0
7,0.1561639,0.02074447,0.1942195,-0.04297893,0,0,0
8,0.1737166,0.02074447,0.1942195,-0.04297893,0,0,0
9,0.1833637,0.02074447,0.1942195,-0.04297893,0,0,0
10,0.2077029,0.02074447,0.1942195,-0.04297893,0,0,0
11,0.235734,0.02074447,0.1942195,-0.04297893,0,0,0
12,0.2484451,0.02074447,0.1942195,-0.04297893,0,0,0
13,0.2686619,0.02074447,0.1942195,-0.04297893,0,0,0
14,0.3028856,0.02074447,0.1942195,-0.04297893,0,0,0
15,0.3173199,0.02074447,0.1942195,-0.04297893,0,0,0
16,0.3305865,0.02074447,0.1942195,-0.04297893,0,0,0
17,0.3362819,0.02074447,0.1942195,-0.04297893,0,0,0
18,0.3511239,0.02072711,0.1942195,-0.04298731,0,0,-8.308966E-06
19,0.3571994,0.02072711,0.1942195,-0.04298731,0,0,0
20,0.3724467,0.0207266,0.1942111,-0.04300109,0,0,0
21,0.3782875,0.0207266,0.1942111,-0.04300109,0,0,0
22,0.3931096,0.02070921,0.1942111,-0.04300947,0,0,-0.0002002258
23,0.3992603,0.02070921,0.1942111,-0.04300947,0,0,0
24,0.4184228,0.02070921,0.1942111,-0.04300947,0,0,0
25,0.4241913,0.02070921,0.1942111,-0.04300947,0,0,0
26,0.4481943,0.02069183,0.1942111,-0.04301783,0,0,-0.0001590445
27,0.4540692,0.02067306,0.1942045,-0.04306262,-0.0001915263,-0.0001915263,-0.000573396
28,0.4868884,0.02056064,0.1941613,-0.04330873,-0.000877534,-0.000877534,-0.006957705
29,0.4931824,0.02054214,0.1941657,-0.04334148,-0.0009620385,-0.0009620385,-0.007678593
30,0.4986855,0.02052243,0.1941527,-0.04340275,-0.001086397,-0.001086397,-0.007408223
31,0.503971,0.02048511,0.1941397,-0.04347238,-0.00148289,-0.00148289,-0.008331603
32,0.5104749,0.02046633,0.1941222,-0.04350922,-0.001458297,-0.001458297,-0.008596263
33,0.5245121,0.02037281,0.1940652,-0.04367533,-0.004305049,-0.004305049,-0.009253065
34,0.5300987,0.02033508,0.1940521,-0.04374525,-0.003048846,-0.003048846,-0.01091316
35,0.535326,0.02029707,0.1940168,-0.04381917,-0.00472661,-0.00472661,-0.01034768
36,0.5403161,0.02027684,0.1940035,-0.0438811,-0.003867422,-0.003867422,-0.01177234
37,0.5456142,0.02023933,0.193977,-0.04394074,-0.004155118,-0.004155118,-0.01232521
38,0.5506842,0.02020172,0.1939503,-0.0440004,-0.005395225,-0.005395225,-0.01171428
39,0.5556322,0.02016403,0.1939237,-0.0440601,-0.005504626,-0.005504626,-0.01200018
40,0.560658,0.02010769,0.1938881,-0.0441424,-0.005698293,-0.005698293,-0.01231987
41,0.5670712,0.02006904,0.1938524,-0.04421664,-0.005958079,-0.005958079,-0.01289832
42,0.5793222,0.0199542,0.1937849,-0.04440679,-0.005790293,-0.005790293,-0.01383837
43,0.5847917,0.01991435,0.1937399,-0.04449581,-0.006383387,-0.006383387,-0.01384957
44,0.5906622,0.01985653,0.1937171,-0.04458928,-0.006150235,-0.006150235,-0.01501034
45,0.5962675,0.01977942,0.1936627,-0.04470921,-0.007237812,-0.007237812,-0.01551917
46,0.6013337,0.01973838,0.1936307,-0.04480963,-0.006907798,-0.006907798,-0.01684386
47,0.6066012,0.01967904,0.1935984,-0.04491821,-0.006925966,-0.006925966,-0.01826993
48,0.6190081,0.01953836,0.1934834,-0.04519192,-0.00846558,-0.00846558,-0.02165889
49,0.6301184,0.01937342,0.1933663,-0.04554221,-0.01004,-0.01004,-0.02586697
50,0.6409737,0.01924226,0.1932382,-0.04589436,-0.01144165,-0.01144165,-0.02952578
51,0.6679739,0.01882442,0.1928688,-0.0469014,-0.01414017,-0.01414017,-0.0382512
52,0.6806843,0.01861771,0.192669,-0.04742489,-0.01541029,-0.01541029,-0.03969163
53,0.6861944,0.0185273,0.1925836,-0.04762506,-0.01596228,-0.01596228,-0.04055374
54,0.6983101,0.01831748,0.1923984,-0.04812464,-0.01606102,-0.01606102,-0.04122774
55,0.7038967,0.01821975,0.1923184,-0.04838579,-0.0158882,-0.0158882,-0.04186415
56,0.7097292,0.01810257,0.1922236,-0.0486427,-0.01589767,-0.01589767,-0.04277275
57,0.7227203,0.0178349,0.1920073,-0.04927694,-0.01619857,-0.01619857,-0.04552591
58,0.7287937,0.01771108,0.191913,-0.04956891,-0.01661224,-0.01661224,-0.04692666
59,0.7412247,0.01741086,0.1916925,-0.05025405,-0.01748644,-0.01748644,-0.05101955
60,0.7468543,0.01730617,0.1915914,-0.05051391,-0.01764862,-0.01764862,-0.05198415
61,0.7593455,0.01701828,0.191374,-0.05118887,-0.01794244,-0.01794244,-0.05438319
62,0.7650252,0.01686146,0.1912759,-0.05153225,-0.01840523,-0.01840523,-0.055685
63,0.7706857,0.01672152,0.1911398,-0.05189141,-0.01912479,-0.01912479,-0.05724319
64,0.7826512,0.01638819,0.1908795,-0.05268068,-0.02105901,-0.02105901,-0.06257312
65,0.7881036,0.01624698,0.1907872,-0.05301053,-0.02172612,-0.02172612,-0.06391178
66,0.7999543,0.01589815,0.1904779,-0.05383965,-0.02327745,-0.02327745,-0.06811985
67,0.8052431,0.01572254,0.1903452,-0.05424002,-0.024014,-0.024014,-0.06893733
68,0.8109237,0.01557354,0.1902201,-0.05458303,-0.02454336,-0.02454336,-0.06944422
69,0.8235974,0.0152309,0.1899056,-0.05541416,-0.02549088,-0.02549088,-0.06705347
70,0.8291783,0.01510365,0.1897728,-0.05572259,-0.02553703,-0.02553703,-0.06651583
71,0.8413563,0.01476127,0.1894538,-0.0564785,-0.02510308,-0.02510308,-0.06216758
72,0.8477104,0.01462431,0.1893181,-0.05683115,-0.0247206,-0.0247206,-0.06117883
73,0.8598323,0.01433097,0.1890529,-0.05749143,-0.02361598,-0.02361598,-0.0573608
74,0.8651816,0.01419507,0.1889105,-0.05781238,-0.02331699,-0.02331699,-0.05651332
75,0.8709374,0.01409018,0.1888069,-0.05806891,-0.02217527,-0.02217527,-0.05445736
76,0.8831378,0.01380976,0.1885878,-0.05873702,-0.01929434,-0.01929434,-0.05160442
77,0.8895576,0.01367214,0.1885116,-0.05904302,-0.0178428,-0.0178428,-0.05285299
78,0.9027339,0.0133923,0.188421,-0.05981736,-0.01018325,-0.01018325,-0.05921748
79,0.9089508,0.01324101,0.1883889,-0.06019129,-0.006879508,-0.006879508,-0.06290321
80,0.9224529,0.01284745,0.1884362,-0.06118886,0.001096246,0.001096246,-0.07121841
81,0.928991,0.01267655,0.1884972,-0.06165741,0.004915361,0.004915361,-0.07493387
82,0.9428786,0.01224847,0.1887209,-0.06279286,0.01471328,0.01471328,-0.08335731
83,0.9488208,0.01203311,0.1888661,-0.06334751,0.01990644,0.01990644,-0.08933656
84,0.9613884,0.01152493,0.1892636,-0.06457345,0.03015115,0.03015115,-0.09804752
85,0.9675105,0.01126054,0.1895012,-0.06521922,0.03379694,0.03379694,-0.102043
86,0.9799498,0.01066028,0.1900414,-0.06656417,0.04293448,0.04293448,-0.1117079
87,0.9855044,0.01031864,0.1903635,-0.06728675,0.04739764,0.04739764,-0.1173372
88,0.9918053,0.009965778,0.1906774,-0.06804353,0.05202281,0.05202281,-0.1225979
89,1.004042,0.009136543,0.1914369,-0.06969097,0.06232111,0.06232111,-0.1342104
90,1.009627,0.008695084,0.1918478,-0.07052984,0.06597082,0.06597082,-0.1395809
91,1.021672,0.007710057,0.1927243,-0.07232123,0.0731927,0.0731927,-0.1478252
92,1.026784,0.007285739,0.1931038,-0.0731089,0.07543112,0.07543112,-0.1497544
93,1.038699,0.006192467,0.1940748,-0.0749032,0.08063245,0.08063245,-0.1536647
94,1.04345,0.005723819,0.1944758,-0.07566012,0.08333001,0.08333001,-0.1548719
95,1.048414,0.005309888,0.1948112,-0.07628269,0.08414117,0.08414117,-0.1546697
96,1.060144,0.004073875,0.1959043,-0.07813297,0.08934801,0.08934801,-0.1551058
97,1.065179,0.003553235,0.1963326,-0.07885431,0.09017921,0.09017921,-0.1556428
98,1.077434,0.002051393,0.1974951,-0.08099805,0.09424561,0.09424561,-0.1590037
99,1.082248,0.00144975,0.1979628,-0.08179749,0.09478921,0.09478921,-0.1613679
100,1.087097,0.0009341029,0.1982971,-0.0824919,0.0936765,0.0936765,-0.1643992
101,1.09929,-0.0006128619,0.1993479,-0.08456095,0.09006158,0.09006158,-0.1734449
102,1.104215,-0.001387473,0.1998012,-0.08558725,0.08924604,0.08924604,-0.1741095
103,1.109597,-0.002049463,0.2002304,-0.08642392,0.08689979,0.08689979,-0.1739257
104,1.122405,-0.003757945,0.2012379,-0.08867331,0.08093103,0.08093103,-0.1708074
105,1.127514,-0.00442929,0.2015602,-0.08954954,0.07930413,0.07930413,-0.1719878
106,1.139412,-0.005938316,0.2023482,-0.09161742,0.06777675,0.06777675,-0.1717966
107,1.144204,-0.006589789,0.2025825,-0.09245864,0.06373895,0.06373895,-0.1723587
108,1.149243,-0.007091053,0.2027928,-0.09317075,0.05941944,0.05941944,-0.1730307
109,1.16082,-0.008601178,0.2032972,-0.09524042,0.04888976,0.04888976,-0.1744034
110,1.16591,-0.009295101,0.2034953,-0.09610907,0.04418427,0.04418427,-0.1736022
111,1.177771,-0.01084817,0.2038735,-0.09812634,0.03389847,0.03389847,-0.1693936
112,1.182656,-0.01148569,0.2039953,-0.09899312,0.03157232,0.03157232,-0.169372
113,1.18757,-0.0121449,0.2041031,-0.09978398,0.02831989,0.02831989,-0.1698201
114,1.200097,-0.01372902,0.2043221,-0.1017952,0.02449956,0.02449956,-0.166665
115,1.205188,-0.0144002,0.204449,-0.102553,0.02267954,0.02267954,-0.1670052
116,1.217626,-0.01609912,0.2047591,-0.1044801,0.02404782,0.02404782,-0.1517064
117,1.22251,-0.01675027,0.2048923,-0.1051223,0.02574548,0.02574548,-0.1445664
118,1.227655,-0.0174505,0.2050263,-0.1057579,0.02685978,0.02685978,-0.1389484
119,1.240375,-0.0192001,0.2054268,-0.1073837,0.02865417,0.02865417,-0.1302293
120,1.245493,-0.01986638,0.2055283,-0.1079912,0.02788254,0.02788254,-0.1265105
121,1.2576,-0.02147477,0.2057985,-0.1093661,0.02437874,0.02437874,-0.118033
122,1.26246,-0.02219717,0.2059062,-0.1098294,0.02332609,0.02332609,-0.1135331
123,1.267347,-0.02273159,0.2059781,-0.1102918,0.02078003,0.02078003,-0.1113764
124,1.27969,-0.02463494,0.2060786,-0.1116359,0.01378815,0.01378815,-0.1031076
125,1.284429,-0.02534477,0.2060707,-0.1121191,0.008217081,0.008217081,-0.1018357
126,1.289359,-0.02597799,0.2060464,-0.1125298,0.004934717,0.004934717,-0.1026325
127,1.301605,-0.028077,0.2058805,-0.1139103,-0.009148378,-0.009148378,-0.106112
128,1.306434,-0.02875262,0.2057703,-0.1143681,-0.01439388,-0.01439388,-0.1036073
129,1.319038,-0.03104828,0.205307,-0.1156851,-0.03007031,-0.03007031,-0.1044558
130,1.323828,-0.03200071,0.2050576,-0.1162265,-0.038316,-0.038316,-0.107135
131,1.32865,-0.03301202,0.2047426,-0.1167581,-0.04461925,-0.04461925,-0.1066434
132,1.341285,-0.035609,0.2038008,-0.1180201,-0.0726584,-0.0726584,-0.09446283
133,1.346306,-0.03669911,0.203404,-0.1185215,-0.07628535,-0.07628535,-0.09640852
134,1.35798,-0.03936193,0.2024115,-0.1197192,-0.08246967,-0.08246967,-0.09679037
135,1.362597,-0.04028402,0.2020462,-0.1201526,-0.08391999,-0.08391999,-0.09551226
136,1.367658,-0.04145595,0.2016231,-0.1206028,-0.08616994,-0.08616994,-0.09472216
137,1.379813,-0.04437264,0.2004826,-0.1218111,-0.09254289,-0.09254289,-0.09363267
138,1.384536,-0.04559769,0.2000088,-0.1222724,-0.09589648,-0.09589648,-0.09399645
139,1.389988,-0.04685692,0.1994992,-0.1227673,-0.09698907,-0.09698907,-0.09111083
140,1.402068,-0.05014238,0.1981904,-0.1239168,-0.103582,-0.103582,-0.08846869
141,1.40709,-0.05127652,0.1977129,-0.1243269,-0.1056497,-0.1056497,-0.08686886
142,1.419948,-0.05458207,0.1963354,-0.1253967,-0.1094815,-0.1094815,-0.08057259
143,1.424732,-0.05602751,0.1957385,-0.12581,-0.111359,-0.111359,-0.0786519
144,1.429851,-0.05714152,0.1952287,-0.1261965,-0.1127334,-0.1127334,-0.07679392
