Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,,
1,0,,,,-0.137503874,0.656041394,-0.178074942,52.3258081,2.964855163,,,
2,0.01667,,,,-0.587506287,0.597768394,-0.340019301,30.06011528,2.999879363,,,
3,0.03333,,,,-0.111528988,1.154010805,-0.209407762,61.9605732,3.069927763,,,
4,0.05,,,,0.295307726,1.578395566,-0.131040839,23.92893632,3.280072963,,,
5,0.06667,,,,0.377078554,1.609542866,-0.065972968,9.923919161,2.999879363,,,
6,0.08333,,,,0.197315985,1.459144622,-0.118418175,30.96985919,3.280072963,,,
7,0.1,,,,0.100384788,1.572944227,-0.186604406,61.72174452,3.245048763,,,평균: 12.744831912559404
8,0.11667,,,,-0.025527116,1.720202735,-0.299480001,85.12799118,3.069927763,,,표준 편차: 1.7261304964312947
9,0.13333,,,,-0.080787764,1.80024316,-0.351310709,77.04935754,3.315097163,,,
10,0.15,,,,-0.05021956,1.824531092,-0.372734144,82.32658132,2.999879363,,,
11,0.16667,,,,0.057350524,1.851065433,-0.358528866,80.91191932,3.210024563,,,
12,0.18333,,,,0.148371364,1.867707354,-0.310998462,64.4950913,3.175000363,,,
13,0.2,,,,0.23721515,1.828019885,-0.286745159,50.40012753,3.315097163,,,
14,0.21667,,,,0.253587931,1.778517526,-0.255467025,45.21149713,3.770411762,,,
15,0.23333,,,,0.248968748,1.735202962,-0.218481215,41.26839971,3.280072963,,,
16,0.25,,,,0.27609713,1.705870436,-0.190372533,34.58676419,3.560266563,,,
17,0.26667,,,,0.245480192,1.709170932,-0.212405641,40.86851909,3.385145563,,,
18,0.28333,,,,0.202132098,1.720074825,-0.244267823,50.39217728,3.385145563,,,
19,0.3,,,,0.193431398,1.733664966,-0.253708903,52.67756998,4.08562956,,,
20,0.31667,,,,0.178342054,1.713589624,-0.273242194,56.86797504,3.735387562,,,
21,0.33333,,,,0.230072093,1.678172776,-0.249032713,47.26630349,3.700363362,,,
22,0.35,,,,0.297072944,1.658971787,-0.226928404,37.37552531,3.770411762,,,
23,0.36667,,,,0.336387465,1.650812476,-0.206666121,31.5652875,3.770411762,,,
24,0.38333,,,,0.357400532,1.667476393,-0.184947239,27.36061188,3.525242363,,,
25,0.4,,,,0.379711882,1.703194215,-0.170817467,24.22110944,4.08562956,,,
26,0.41667,,,,0.377916772,1.725076233,-0.171982405,24.46933759,3.840460162,,,
27,0.43333,,,,0.368130443,1.710326467,-0.167568453,24.47444481,3.875484361,,,
28,0.45,,,,0.385150571,1.70440766,-0.152846562,21.64559622,3.595290763,,,
29,0.46667,,,,0.433874656,1.698883441,-0.149364735,18.99642396,3.525242363,,,
30,0.48333,,,,0.486788941,1.696152163,-0.131216019,15.08576723,3.840460162,,,
31,0.5,,,,0.507978037,1.672348001,-0.1262234,13.95435565,3.490218163,,,
32,0.51667,,,,0.516400905,1.65685313,-0.116870362,12.75219192,3.490218163,,,
33,0.53333,,,,0.526557177,1.64004817,-0.105804576,11.36151894,3.245048763,,,
34,0.55,,,,0.544793829,1.628519652,-0.104164209,10.82427417,3.560266563,,,
35,0.56667,,,,0.568332455,1.613435342,-0.0855173,8.557131319,3.139976163,,,
36,0.58333,,,,0.604935756,1.591000696,-0.061639991,5.818079171,3.175000363,,,
37,0.6,,,,0.643601065,1.579685343,-0.045093556,4.007847789,2.964855163,,,
38,0.61667,,,,0.670567966,1.584444164,-0.023477231,2.005161484,2.824758362,,,
39,0.63333,,,,0.701870131,1.583300087,-0.008712187,0.711165658,2.964855163,,,
40,0.65,,,,0.724252049,1.602476706,-0.005926834,0.468862972,2.334419559,,,
41,0.66667,,,,0.736546558,1.555997784,-0.005106009,0.397188869,2.824758362,,,
42,0.68333,,,,0.74826923,1.499384641,0.015358843,1.17587804,2.579588961,,,
43,0.7,,,,0.780126724,1.48997782,0.038390727,2.817303298,2.649637362,,,
44,0.71667,,,,0.844248978,1.464204021,0.065528274,4.438241789,2.999879363,,,
45,0.73333,,,,0.903935885,1.414920573,0.098176321,6.198587934,2.649637362,,,
46,0.75,,,,0.944959208,1.356484733,0.131072102,7.896917071,2.789734162,,,
47,0.76667,,,,0.970064203,1.314646112,0.151376876,8.869378001,2.859782562,,,
48,0.78333,,,,0.992597944,1.300720435,0.1661423,9.50215449,2.614613161,,,
49,0.8,,,,1.009683448,1.302458337,0.174161944,9.786737989,2.999879363,,,
50,0.81667,,,,1.026098931,1.310052225,0.178849856,9.887369651,2.579588961,,,
51,0.83333,,,,1.041883051,1.302828508,0.177439038,9.665090033,2.824758362,,,
52,0.85,,,,1.048492509,1.30585341,0.176081459,9.533166205,2.47451636,,,
53,0.86667,,,,1.056260534,1.311563789,0.176198966,9.470531285,2.40446796,,,
54,0.88333,,,,1.059612551,1.279986797,0.167918797,9.00488745,2.47451636,,,
55,0.9,,,,1.060138372,1.292699133,0.168177869,9.014152741,2.40446796,,,
56,0.91667,,,,1.050009748,1.327492738,0.169777668,9.184749474,2.299395359,,,
57,0.93333,,,,1.054602734,1.329831627,0.173975388,9.367583519,2.299395359,,,
58,0.95,,,,1.080875361,1.311607771,0.184551112,9.689374604,2.159298558,,,
59,0.96667,,,,1.126480622,1.345605431,0.199903615,10.06286682,1.108572542,,,
60,0.98333,,,,1.151955845,1.442876997,0.212230149,10.43881059,1.703983952,,,
61,1,,,,1.152163653,1.473660713,0.21050849,10.35414071,1.703983952,,,
62,1.01667,,,,1.151161985,1.480687446,0.211284013,10.40030105,1.458814548,,,
63,1.03333,,,,1.151375704,1.49339559,0.207226579,10.20295919,1.633935551,,,
64,1.05,,,,1.146919372,1.49409229,0.195008193,9.649594152,1.108572542,,,
65,1.06667,,,,1.143746285,1.492479006,0.183160062,9.098123906,0.898427337,,,
66,1.08333,,,,1.149716449,1.505569491,0.185445821,9.162720262,1.178620943,,,
67,1.1,,,,1.151053287,1.507167202,0.185401424,9.150104817,1.458814548,,,
68,1.11667,,,,1.13807371,1.501055858,0.180898052,9.031669098,1.56388715,,,
69,1.13333,,,,1.176346815,1.490802967,0.195208662,9.422076627,1.528862949,,,
70,1.15,1.123857186,0.13884808,-0.975761117,1.20286836,1.463817421,0.205865191,9.711807416,1.949153355,,,
