Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,
1,0,1.096090909,0.14,-0.830757576,0.847655103,-2.969531288,-0.870530751,45.76278164,0.723306333,,
2,0.01667,1.099905906,0.15498749,-0.831892992,1.30703021,-4.185973347,-1.058121622,38.99230614,0.23296752,,평균: 15.059708207770935
3,0.03333,1.103720904,0.169974979,-0.833028408,1.517772398,-4.83196076,-1.171151941,37.65469492,0.723306333,,표준 편차: 2.3520126040411826
4,0.05,1.103273865,0.179974979,-0.841418354,1.629061419,-5.128913889,-1.25435804,37.59584604,0.758330534,,
5,0.06667,1.102819698,0.189966639,-0.849820431,1.741144829,-5.35206023,-1.297005516,36.68299171,0.688282132,,
6,0.08333,1.102727652,0.194979149,-0.859505017,1.810378486,-5.457498498,-1.327467999,36.25089685,0.618233731,,
7,0.1,1.102636819,0.199974979,-0.869193899,1.805467633,-5.508252412,-1.379167187,37.37561757,-0.327419697,,
8,0.11667,1.10064804,0.195029191,-0.862539364,1.776387595,-5.581297796,-1.419377667,38.62572052,0.618233731,,
9,0.13333,1.098649708,0.190033361,-0.855802563,1.791014294,-5.632180827,-1.45154605,39.0233952,0.373064324,,
10,0.15,1.099222837,0.194962469,-0.872750272,1.768535475,-5.639479323,-1.491854643,40.14942904,0.548185329,,
11,0.16667,1.099813253,0.199958299,-0.889857204,1.762433369,-5.632972608,-1.519033509,40.75790532,0.58320953,,
12,0.18333,1.10094412,0.195045872,-0.875813178,1.792246107,-5.621656714,-1.512438883,40.16031739,-0.187322893,,
13,0.2,1.102079536,0.190050042,-0.861506938,1.758257308,-5.617352573,-1.52876907,41.00629732,0.478136927,,
14,0.21667,1.096650542,0.194945788,-0.861588445,1.74395664,-5.623693354,-1.553180503,41.68849274,0.057846515,,
15,0.23333,1.091155129,0.199941618,-0.861815528,1.78827965,-5.681170313,-1.545688182,40.83828785,0.478136927,,
16,0.25,1.092976116,0.204937448,-0.872665605,1.805099523,-5.745214589,-1.5300256,40.28503975,0.23296752,,
17,0.26667,1.094883615,0.209933278,-0.883641292,1.857941252,-5.806339098,-1.516103306,39.21487543,0.478136927,,
18,0.28333,1.093968079,0.200141785,-0.887298001,1.945105671,-5.849103223,-1.491498168,37.48082629,0.303015922,,
19,0.3,1.09301433,0.190150125,-0.890855637,1.978084774,-5.914027403,-1.496282381,37.1049492,0.548185329,,
20,0.31667,1.099575934,0.199841535,-0.887777694,1.961010677,-6.037510699,-1.496947168,37.3564826,0.58320953,,
21,0.33333,1.10625218,0.209833194,-0.884598529,1.938599548,-6.173801394,-1.47656801,37.29534126,0.303015922,,
22,0.35,1.096851391,0.21,-0.887894837,1.937906289,-6.308092825,-1.46130615,37.01864595,0.548185329,,
23,0.36667,1.087177648,0.21,-0.891301084,1.864646902,-6.409162912,-1.444110297,37.75665405,0.688282132,,
24,0.38333,1.084012965,0.21,-0.891289332,1.824529592,-6.49006215,-1.440600439,38.29369048,0.513161128,,
25,0.4,1.080970051,0.21,-0.891213638,1.813730273,-6.564738369,-1.440319782,38.45379766,0.618233731,,
26,0.41667,1.08660596,0.21,-0.889580206,1.795310741,-6.642275547,-1.43436069,38.62305113,0.58320953,,
27,0.43333,1.092419289,0.21,-0.887914929,1.8188041,-6.668415174,-1.434322928,38.25958426,0.443112726,,
28,0.45,1.082948366,0.166013344,-0.878918543,1.840677227,-6.658892554,-1.452859383,38.28427861,0.478136927,,
29,0.46667,1.073138373,0.121050876,-0.869759522,1.863618195,-6.715466505,-1.436819608,37.63164438,-0.292395496,,
30,0.48333,1.085772083,0.159032527,-0.8682148,1.875300848,-6.751334738,-1.434224261,37.40864686,0.303015922,,
