Frame,Timestamp,unity_x,unity_y,unity_z,X(accel),Y(accel),Z(accel),Angles,loadcell(N),,
1,0,1.083452381,0.17,-0.90875,0.658201455,-0.137052619,-0.178074942,15.13882399,1.299963309,,
2,0.01667,1.085474503,0.199974979,-0.939349458,0.751299507,-0.333802352,-0.365665813,25.95270128,1.159866504,,평균: 23.980764878476485
3,0.03333,1.087496624,0.229949958,-0.969948916,0.722067073,-0.148929356,-0.190172879,14.75508178,0.669527686,,표준 편차: 7.167276661040162
4,0.05,1.095515608,0.23,-0.988453711,1.007653451,0.037527204,0.053614042,3.045654687,0.739576089,,
5,0.06667,1.103544621,0.23,-1.006938282,1.336977045,-0.089944299,-0.053149713,2.276517438,0.984745498,,
6,0.08333,1.092842547,0.185187656,-1.010236447,1.583034106,-0.148624189,-0.118418176,4.278018125,1.124842303,,
7,0.1,1.082077723,0.140225188,-1.013483736,1.663377395,-0.230400488,-0.20583929,7.054363383,0.914697095,,
8,0.11667,1.098533997,0.194678899,-1.022695997,1.675345648,-0.335966923,-0.308028838,10.41804257,0.914697095,,
9,0.13333,1.115127289,0.249633028,-1.031938282,1.677342104,-0.405313518,-0.382086524,12.83259955,0.914697095,,
10,0.15,1.107676238,0.25,-1.018849458,1.685864791,-0.448318411,-0.421695666,14.04358319,0.984745498,,
11,0.16667,1.100063545,0.25,-1.005610509,1.686651909,-0.465272632,-0.429056773,14.27239213,0.949721297,,
12,0.18333,1.104895151,0.25,-1.006614679,1.693147275,-0.560961487,-0.529980214,17.38089417,0.949721297,,
13,0.2,1.109831506,0.25,-1.007738741,1.888168379,-0.632190111,-0.605494658,17.77991931,0.809624492,,
14,0.21667,1.111882819,0.254945788,-1.006266264,1.779321318,-0.688886067,-0.660681905,20.37052457,-0.136028947,,
15,0.23333,1.113904941,0.259941618,-1.004767515,1.631980387,-0.762099018,-0.733014351,24.18753497,0.459382478,,
16,0.25,1.115633167,0.26,-1.025981026,1.729318061,-0.871129718,-0.837569792,25.84254541,1.33498751,,
17,0.26667,1.117357917,0.26,-1.047463094,1.740058979,-0.959653366,-0.921959125,27.91659364,0.914697095,,
18,0.28333,1.114094881,0.264929108,-1.03493432,1.677876312,-0.991153832,-0.956970878,29.69812235,0.214213068,,
19,0.3,1.110764327,0.269924937,-1.021945163,1.68253708,-0.985514508,-0.950011688,29.45039617,0.389334075,,
20,0.31667,1.113701894,0.265079233,-1.013876772,1.661493478,-0.966025069,-0.932723917,29.30884413,1.159866504,,
21,0.33333,1.116735077,0.260083403,-1.005883445,1.618250649,-0.972340549,-0.944985773,30.2830114,1.194890705,,
22,0.35,1.106785416,0.264912427,-1.002679733,1.585357758,-0.994527023,-0.966216973,31.36076385,0.49440668,,
23,0.36667,1.096615334,0.269908257,-0.999557339,1.561521063,-1.011717426,-0.979267278,32.09281008,0.319285672,,
24,0.38333,1.090765519,0.265095913,-0.995699333,1.536560045,-1.012426044,-0.982040814,32.58331551,0.634503485,,
25,0.4,1.084996525,0.260100083,-0.991827565,1.510604433,-1.033415897,-0.999397066,33.48812464,0.739576089,,
26,0.41667,1.08569691,0.26,-1.017575063,1.480958018,-1.027673358,-0.995520383,33.90953796,0.844648693,,
27,0.43333,1.086529548,0.26,-1.043928065,1.420951436,-1.068200179,-1.038633895,36.16465914,0.984745498,,
28,0.45,1.091784126,0.26,-1.049143036,1.422572622,-1.085095421,-1.057549362,36.62734279,0.844648693,,
29,0.46667,1.097136801,0.26,-1.053889074,1.426611778,-1.083240003,-1.057251239,36.54186563,0.459382478,,
30,0.48333,1.101502045,0.255120934,-1.033751877,1.452391411,-1.086377371,-1.059454271,36.10907062,0.564455082,,
31,0.5,1.105843659,0.250125104,-1.013019183,1.488400671,-1.063354265,-1.037476009,34.87807059,0.809624492,,
32,0.51667,1.113316454,0.254870726,-1.001906172,1.506152696,-1.048593115,-1.026155767,34.26696647,0.739576089,,
33,0.53333,1.120869673,0.259866555,-0.991040242,1.513945019,-1.061358889,-1.035867769,34.38061928,0.634503485,,
34,0.55,1.129580603,0.264862385,-1.000231651,1.52345725,-1.073395191,-1.049421344,34.56070282,0.564455082,,
35,0.56667,1.138323305,0.269858215,-1.00997352,1.5156007,-1.063781487,-1.038712641,34.42467962,0.704551888,,
36,0.58333,1.134757536,0.265145955,-0.992532736,1.506120681,-1.044480311,-1.020264999,34.11420432,0.739576089,,
37,0.6,1.130832241,0.260150125,-0.974297957,1.495145361,-1.038121213,-1.012911908,34.11635106,0.634503485,,
38,0.61667,1.133771695,0.26,-0.971206005,1.482789764,-1.037898435,-1.013827133,34.36156875,0.669527686,,
39,0.63333,1.136923825,0.26,-0.968583194,1.47484102,-1.037686796,-1.014696597,34.52812922,0.704551888,,
40,0.65,1.132359208,0.26,-0.97466764,1.544909806,-1.020905118,-0.996757908,32.82963912,0.004067859,,
41,0.66667,1.127541801,0.26,-0.981037323,1.600816061,-1.024704958,-1.001656167,32.03487252,0.109140463,,
42,0.68333,1.137441419,0.264829024,-0.979680567,1.521945061,-1.042380669,-1.022430222,33.89288232,1.089818102,,
43,0.7,1.147849398,0.269824854,-0.978056922,1.477660613,-1.042086401,-1.024773745,34.74172997,1.089818102,,
